x,y,width,height,WcalcZ,HcalcZ
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 277, 66, 33, 77.70007769696969, 78.64788554545454
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
341, 278, 66, 32, 77.70007769696969, 81.10563196875
